epoch,loss,accuracy,val_loss,val_accuracy
318,0.47283,79.598,0.92546,62.245
320,0.47379,74.713,0.9665,64.286
322,0.45016,80.172,0.97508,65.306
324,0.48632,77.586,0.96651,65.306
326,0.51051,75.575,0.97857,64.286
328,0.47381,77.874,0.92645,64.286
330,0.4753,77.011,0.92949,65.306
332,0.46122,77.874,0.96793,62.245
334,0.45677,78.448,0.95748,61.224
336,0.48274,79.023,0.95801,62.245
338,0.45357,77.586,0.93092,63.265
340,0.43741,81.034,0.99989,53.061
342,0.42656,81.034,1.05341,55.102
344,0.49683,78.161,0.96799,61.224
346,0.47471,78.736,0.96284,62.245
348,0.44524,81.322,1.08169,60.204
350,0.45959,77.874,1.03009,62.245
352,0.44341,80.172,0.99191,63.265
354,0.4654,79.598,0.94981,57.143
356,0.45091,79.598,1.00134,62.245
358,0.42573,81.897,1.03073,59.184
360,0.47441,77.874,1.04685,56.122
362,0.43144,79.598,1.00967,60.204
364,0.4276,79.598,0.94298,60.204
366,0.41951,81.322,0.93995,62.245
368,0.40958,82.471,1.08478,56.122
370,0.43177,77.874,0.94405,57.143
372,0.42141,80.747,1.00009,63.265
374,0.44797,78.161,0.98641,63.265
376,0.39941,82.759,1.02118,59.184
378,0.44129,80.172,1.02634,56.122
380,0.40505,82.759,0.98519,59.184
382,0.39009,83.333,1.0548,60.204
384,0.4117,82.471,1.01467,57.143
386,0.38983,83.621,0.97961,63.265
388,0.36503,85.345,0.94045,62.245
390,0.45031,80.747,1.03079,60.204
392,0.37672,83.621,1.00246,61.224
394,0.37758,82.184,0.99309,61.224
396,0.38316,83.621,0.98722,63.265
398,0.37225,82.184,0.93073,66.327
400,0.38268,83.621,0.99968,61.224
402,0.3872,82.759,0.92401,59.184
404,0.35869,83.621,1.04563,61.224
406,0.40102,83.621,0.96454,63.265
408,0.35571,85.92,1.00695,62.245
410,0.37154,83.333,1.09824,56.122
412,0.37655,83.333,0.99503,61.224
414,0.37857,82.471,1.08328,60.204
416,0.33007,85.057,1.11391,57.143
418,0.39009,83.621,0.99291,62.245
420,0.37317,82.184,1.30901,52.041
422,0.35501,85.057,1.11453,55.102
424,0.36933,82.471,1.01359,61.224
426,0.34305,85.632,1.09635,61.224
428,0.34947,86.494,1.18314,56.122
430,0.34979,82.471,0.99533,60.204
432,0.32742,86.782,1.05543,60.204
434,0.3195,88.506,1.02623,58.163
436,0.325,86.207,0.96755,63.265
438,0.36759,85.057,0.98009,64.286
440,0.34517,86.207,1.38016,51.02
442,0.36176,84.195,0.98012,64.286
444,0.32964,86.207,0.96046,65.306
446,0.3475,85.632,0.982,61.224
448,0.30867,89.08,1.00412,62.245
450,0.34104,86.782,0.9521,65.306
452,0.32294,86.207,1.30088,53.061
454,0.32022,84.483,1.07482,61.224
456,0.31069,86.494,1.00684,63.265
458,0.31747,88.218,1.01865,60.204
460,0.29673,87.644,1.02622,62.245
462,0.32142,84.77,0.95921,62.245
464,0.29286,87.931,1.00671,61.224
466,0.29273,88.506,1.11069,56.122
468,0.24678,93.391,0.99773,61.224
470,0.27961,89.08,1.02317,60.204
472,0.30936,86.207,0.98582,61.224
474,0.26047,89.08,1.13261,56.122
476,0.29064,87.931,0.9874,64.286
478,0.27386,90.517,1.08953,60.204
480,0.2862,88.793,1.00414,62.245
482,0.26711,89.943,1.12438,59.184
484,0.2682,89.368,1.14309,62.245
486,0.24749,90.805,1.12011,60.204
488,0.29324,89.655,1.03019,59.184
490,0.27027,89.655,1.1524,59.184
492,0.26076,88.506,1.09315,61.224
494,0.22593,91.667,1.10005,61.224
496,0.2668,90.23,1.0689,59.184
498,0.29848,87.644,1.10576,59.184
499,0.25206,91.379,1.00085,64.286
