epoch,loss,accuracy,val_loss,val_accuracy,val_auc
234,0.0113,100.0000,1.0643,79.2210,0.8660
236,0.0282,99.2860,1.0975,77.9220,0.8620
238,0.0272,98.8100,1.0619,79.2210,0.8530
240,0.0414,98.3330,1.0674,80.5190,0.8640
242,0.0230,99.2860,1.0080,80.5190,0.8580
244,0.0394,98.8100,1.0622,80.5190,0.8660
246,0.0163,99.5240,1.0833,81.8180,0.8610
248,0.0384,98.8100,1.1073,81.8180,0.8580
250,0.0222,99.2860,1.1196,79.2210,0.8720
252,0.0126,99.5240,1.2619,81.8180,0.8610
254,0.0167,99.2860,1.1078,80.5190,0.8560
256,0.0105,100.0000,1.1375,79.2210,0.8590
258,0.0061,100.0000,1.1150,79.2210,0.8510
260,0.0074,99.7620,1.5126,74.0260,0.8690
262,0.0077,100.0000,1.2675,81.8180,0.8660
264,0.0166,99.5240,1.2299,80.5190,0.8660
266,0.0044,100.0000,1.2874,79.2210,0.8650
268,0.0138,99.5240,1.2760,81.8180,0.8610
270,0.0072,99.7620,1.2595,81.8180,0.8580
272,0.0033,100.0000,1.2427,81.8180,0.8510
274,0.0099,99.7620,1.2479,80.5190,0.8590
276,0.0100,99.7620,1.4258,80.5190,0.8660
278,0.0281,99.2860,1.2936,79.2210,0.8630
280,0.0314,98.8100,1.2591,79.2210,0.8590
282,0.0070,99.7620,1.2772,79.2210,0.8620
284,0.0230,99.0480,1.2892,81.8180,0.8700
286,0.0094,100.0000,1.2758,79.2210,0.8660
288,0.0165,99.2860,1.2571,81.8180,0.8720
290,0.0089,100.0000,1.2555,79.2210,0.8640
292,0.0149,99.7620,1.2705,80.5190,0.8600
294,0.0069,99.7620,1.3696,81.8180,0.8630
296,0.0207,99.0480,1.2937,80.5190,0.8610
298,0.0173,99.0480,1.2783,80.5190,0.8740
299,0.0180,99.0480,1.3904,79.2210,0.8640
