epoch,loss,val_loss,accuracy,val_accuracy,val_auc
234,0.4342,0.5662,80.1720,65.8230,0.7140
236,0.4735,0.5475,76.2930,74.6840,0.7120
238,0.4712,0.5418,80.6030,72.1520,0.7220
240,0.4560,0.5434,78.8790,73.4180,0.7200
242,0.4210,0.5490,80.1720,73.4180,0.7140
244,0.4535,0.5479,80.6030,69.6200,0.7260
246,0.4538,0.5567,77.5860,64.5570,0.7130
248,0.4336,0.5443,79.3100,75.9490,0.7150
250,0.4336,0.5693,77.5860,63.2910,0.7270
252,0.4388,0.5414,77.1550,72.1520,0.7270
254,0.4110,0.5491,80.6030,69.6200,0.7330
256,0.4436,0.5693,78.0170,70.8860,0.7230
258,0.4280,0.6188,81.0340,58.2280,0.7210
260,0.4478,0.5604,78.0170,68.3540,0.7120
262,0.4507,0.5579,78.8790,69.6200,0.7010
264,0.4387,0.5542,78.0170,73.4180,0.7220
266,0.4332,0.5836,82.3280,63.2910,0.7120
268,0.4473,0.6136,77.1550,59.4940,0.7150
270,0.4523,0.5503,79.3100,72.1520,0.7050
272,0.4161,0.5780,82.7590,63.2910,0.7110
274,0.3978,0.5778,79.7410,65.8230,0.7000
276,0.4060,0.5755,80.6030,65.8230,0.6870
278,0.4400,0.5685,81.8970,67.0890,0.6980
280,0.3924,0.5909,81.8970,65.8230,0.6860
282,0.4155,0.5659,80.6030,67.0890,0.7010
284,0.4242,0.5769,81.0340,62.0250,0.7050
286,0.4156,0.5745,81.0340,64.5570,0.7060
288,0.3952,0.5722,81.8970,69.6200,0.7090
290,0.3896,0.5849,81.0340,68.3540,0.6820
292,0.3800,0.6008,81.8970,72.1520,0.6990
294,0.4209,0.6412,82.7590,70.8860,0.6960
296,0.3704,0.5738,82.3280,67.0890,0.6980
298,0.3729,0.5833,82.7590,67.0890,0.6990
300,0.38721,0.56866,83.19,67.089,0.711
302,0.38413,0.5632,82.759,67.089,0.716
304,0.41088,0.58846,79.31,68.354,0.693
306,0.37146,0.57557,81.466,69.62,0.698
308,0.40797,0.60841,78.017,69.62,0.711
310,0.3766,0.58273,84.483,72.152,0.729
312,0.3468,0.62838,85.345,70.886,0.713
314,0.36214,0.56481,83.19,67.089,0.72
316,0.38802,0.58258,83.621,69.62,0.727
318,0.35446,0.57041,84.483,68.354,0.717
320,0.38658,0.57194,83.19,65.823,0.72
322,0.35421,0.57397,83.621,69.62,0.723
324,0.39381,0.57824,81.034,67.089,0.718
326,0.38118,0.62758,81.466,73.418,0.732
328,0.32391,0.61316,85.345,73.418,0.716
330,0.35284,0.5734,83.621,65.823,0.728
332,0.34903,0.57666,84.483,69.62,0.72
334,0.3882,0.5916,81.466,68.354,0.706
336,0.33945,0.58887,87.069,67.089,0.71
338,0.31854,0.60745,84.914,68.354,0.686
340,0.34816,0.61067,84.483,69.62,0.734
342,0.34613,0.5819,82.759,70.886,0.732
344,0.35498,0.5995,84.914,64.557,0.721
346,0.33567,0.59864,85.345,70.886,0.723
348,0.32919,0.61125,84.483,67.089,0.723
350,0.33488,0.62147,84.483,67.089,0.711
352,0.30543,0.60075,86.207,60.759,0.721
354,0.35485,0.60709,84.483,70.886,0.731
356,0.30355,0.58103,87.069,63.291,0.739
358,0.2942,0.57622,88.362,69.62,0.744
360,0.29952,0.59186,87.931,68.354,0.724
362,0.31946,0.56961,87.5,67.089,0.748
364,0.33416,0.63156,83.19,69.62,0.747
366,0.33618,0.56804,85.776,67.089,0.746
368,0.33421,0.61437,84.052,70.886,0.725
370,0.28601,0.59965,88.793,72.152,0.738
372,0.29297,0.57208,87.069,69.62,0.741
374,0.29539,0.62655,87.931,72.152,0.748
376,0.36676,0.57769,81.897,68.354,0.739
378,0.30235,0.80539,84.914,70.886,0.733
380,0.28389,0.6237,88.362,68.354,0.738
382,0.28914,0.67448,90.517,70.886,0.744
384,0.32509,0.69617,82.759,70.886,0.748
386,0.29652,0.61152,88.793,68.354,0.74
388,0.34181,0.58983,82.759,69.62,0.735
390,0.28136,0.68259,86.207,67.089,0.738
392,0.29518,0.59074,87.5,70.886,0.748
394,0.29372,0.71993,88.362,73.418,0.744
396,0.32109,0.70505,85.345,73.418,0.745
398,0.30706,0.60988,85.776,73.418,0.751
400,0.28577,0.60504,88.362,69.62,0.733
402,0.27181,0.60087,87.931,69.62,0.745
404,0.28278,0.61141,87.5,73.418,0.75
406,0.26656,0.73506,87.5,72.152,0.74
408,0.28782,0.62131,86.207,65.823,0.727
410,0.26704,0.71116,87.931,73.418,0.707
412,0.30864,0.65994,85.345,70.886,0.721
414,0.27057,0.70923,88.362,74.684,0.708
416,0.29191,0.64278,88.793,70.886,0.709
418,0.2777,0.73657,87.069,70.886,0.724
420,0.25752,0.71011,89.655,72.152,0.723
422,0.29956,0.6667,87.931,70.886,0.727
424,0.26968,0.60692,85.776,70.886,0.727
426,0.26167,0.67608,88.362,68.354,0.719
428,0.2738,0.66993,88.362,67.089,0.713
430,0.23194,0.63095,91.81,69.62,0.725
432,0.22238,0.77296,92.241,70.886,0.726
434,0.22521,0.68761,92.241,68.354,0.704
436,0.24805,0.7456,90.517,64.557,0.709
438,0.23811,0.64779,89.224,70.886,0.715
440,0.22727,0.65111,90.948,68.354,0.732
442,0.24814,0.69976,89.224,69.62,0.72
444,0.23267,0.67317,91.81,68.354,0.711
446,0.22031,0.72691,91.379,72.152,0.74
448,0.21194,0.63773,92.241,70.886,0.742
450,0.26603,0.62385,88.793,73.418,0.748
452,0.25192,0.70707,89.224,73.418,0.723
454,0.22209,0.72099,91.81,65.823,0.731
456,0.19041,0.69799,93.103,69.62,0.733
458,0.26549,0.66381,88.793,72.152,0.74
460,0.24766,0.66484,90.517,70.886,0.73
462,0.20817,0.77824,92.241,69.62,0.723
464,0.22539,0.6591,90.086,69.62,0.742
466,0.22335,0.63273,90.948,70.886,0.751
468,0.19899,0.78526,93.534,69.62,0.736
470,0.25308,0.66044,88.793,68.354,0.734
472,0.23394,0.68929,90.948,70.886,0.727
474,0.21083,0.68309,92.241,72.152,0.722
476,0.1939,0.83237,91.81,70.886,0.727
478,0.23084,0.70449,91.379,70.886,0.728
480,0.27721,0.68427,87.5,72.152,0.722
482,0.17929,0.68731,93.103,72.152,0.736
484,0.17679,0.70519,94.397,69.62,0.734
486,0.23607,0.64823,88.793,72.152,0.744
488,0.22032,0.68619,90.517,68.354,0.742
490,0.25167,0.70223,89.655,65.823,0.756
492,0.20711,0.67948,89.224,69.62,0.74
494,0.23625,0.71569,90.086,69.62,0.73
496,0.24416,0.66344,90.948,72.152,0.74
498,0.2056,0.6953,90.517,72.152,0.748
499,0.20185,0.67671,91.81,72.152,0.752
